ID,Longitude,Latitude,Type,Speed,DirType,Direction,NameEng,NameHeb,Road,RoadDir,Description
41,34.91409,32.46486,2,90,1,282,SpeedRedCam,מצלמת רמזור ומהירות,65,מערב,צומת נחל חדרה
42,34.96174,32.44928,2,90,1,245,SpeedRedCam,מצלמת רמזור ומהירות,65,מערב,צומת אלון(עם כביש 650)
43,34.98664,32.45898,2,90,1,242,SpeedRedCam,מצלמת רמזור ומהירות,65,מערב,צומת חנה
44,35.06339,32.49733,2,90,1,240,SpeedRedCam,מצלמת רמזור ומהירות,65,מערב,צומת כפר קרע
45,35.07428,32.50153,1,90,1,257,FixSpeedCam,מצלמת מהירות,65,מערב,20 מערבית לערערה
46,35.09873,32.50634,1,90,1,83,FixSpeedCam,מצלמת מהירות,65,מזרח,מול משטרת עירון 22
47,35.18109,32.56841,1,90,1,238,FixSpeedCam,מצלמת מהירות,65,מערב, דרומית לצומת מגידו
48,35.35102,32.64332,2,90,1,64,SpeedRedCam,מצלמת רמזור ומהירות,65,מזרח,צומת דברת
49,35.18158,32.89321,2,90,1,153,SpeedRedCam,מצלמת רמזור ומהירות,70,דרום,צומת יבור
50,35.15196,32.82451,2,90,1,198,SpeedRedCam,מצלמת רמזור ומהירות,70,דרום,צומת אבליים
51,34.96758,32.58299,2,90,1,286,SpeedRedCam,מצלמת רמזור ומהירות,70,דרום,צומת שפיה למערב
52,35.13625,32.70972,2,90,1,97,SpeedRedCam,מצלמת רמזור ומהירות,75,מזרח,צומת השומרים
53,35.09182,32.92165,2,60,1,111,SpeedRedCam,מצלמת רמזור ומהירות,85,מזרח,בעכו צומת בן עמי-בן שושן
54,35.16661,32.91191,2,90,1,90,SpeedRedCam,מצלמת רמזור ומהירות,85,מזרח,צומת אחיהוד
55,35.41749,32.92232,2,90,1,124,SpeedRedCam,מצלמת רמזור ומהירות,85,מזרח,צומת חלפתא
56,35.14328,33.01647,2,90,1,266,SpeedRedCam,מצלמת רמזור ומהירות,89,מערב,צומת כברי
57,34.94071,32.13717,2,90,1,34,SpeedRedCam,מצלמת רמזור ומהירות,444,צפון,צומת חגור
58,34.94063,32.11506,2,90,1,208,SpeedRedCam,מצלמת רמזור ומהירות,444,דרום,צומת קסם
59,35.23302,32.83017,1,60,2,91,FixSpeedCam,מצלמת מהירות,784,דרום,מזרחית לצומת מורשת
60,35.24609,32.81156,1,80,2,216,FixSpeedCam,מצלמת מהירות,784,צפון,מערבית לכפר מנדא למערב
61,35.23137,32.87706,1,80,2,112,FixSpeedCam,מצלמת מהירות,805,מזרח,בין יעד לשעב
62,34.80371,32.08309,2,50,1,263,SpeedRedCam,מצלמת רמזור ומהירות,"ר""ג",מערב,צומת עלית רמת גן
63,34.79346,32.09962,2,50,1,353,SpeedRedCam,מצלמת רמזור ומהירות,"ת""א",צפון,נמיר צפון בצומת עם רוקח
64,34.78371,32.04686,2,50,1,92,SpeedRedCam,מצלמת רמזור ומהירות,"ת""א",מזרח,צומת הולץ על קיבוץ גלויות
65,34.78413,32.04696,2,50,1,272,SpeedRedCam,מצלמת רמזור ומהירות,"ת""א",מערב,צומת הולץ על קיבוץ גלויות 
66,35.20391,31.80617,2,50,1,22,SpeedRedCam,מצלמת רמזור ומהירות,י-ם,צפון,צומת גולדה(463) ויגאל ידין
67,35.22202,31.75613,2,50,1,39,SpeedRedCam,מצלמת רמזור ומהירות,י-ם,צפון,צומת דרך חברון ודניאל ינובסקי
68,35.21885,31.75005,2,50,1,205,SpeedRedCam,מצלמת רמזור ומהירות,י-ם,דרום,צומת דרך חברון והתנופה
69,34.79777,31.26241,2,30,1,180,SpeedCam,אחלה יופי
